[0.000000,0.000836]
[0.000836,0.001416]
[0.001416,0.002304]
[0.002304,0.002581]
[0.002581,0.004196]
[0.004196,0.004369]
[0.004369,0.004671]
[0.004671,0.005146]
[0.005146,0.005316]
[0.005316,0.006364]
[0.006364,0.006845]
[0.006845,0.006979]
[0.006979,0.007748]
[0.007748,0.007819]
[0.007819,0.008329]
[0.008329,0.008618]
[0.008618,0.008880]
[0.008880,0.009189]
[0.009189,0.009451]
[0.009451,0.009478]
[0.009478,0.010675]
[0.010675,0.011939]
[0.011939,0.011952]
[0.011952,0.012821]
[0.012821,0.013469]
[0.013469,0.013566]
[0.013566,0.014832]
[0.014832,0.015851]
[0.015851,0.016037]
[0.016037,0.016721]
[0.016721,0.016856]
[0.016856,0.017710]
[0.017710,0.019063]
[0.019063,0.019220]
[0.019220,0.020567]
[0.020567,0.022558]
[0.022558,0.023243]
[0.023243,0.023295]
[0.023295,0.023313]
[0.023313,0.024179]
[0.024179,0.024628]
[0.024628,0.025033]
[0.025033,0.025586]
[0.025586,0.025820]
[0.025820,0.026395]
[0.026395,0.029544]
[0.029544,0.030071]
[0.030071,0.031069]
[0.031069,0.033278]
[0.033278,0.034426]
[0.034426,0.035243]
[0.035243,0.035714]
[0.035714,0.035825]
[0.035825,0.036305]
[0.036305,0.036339]
[0.036339,0.036812]
[0.036812,0.037625]
[0.037625,0.037821]
[0.037821,0.040038]
[0.040038,0.040044]
[0.040044,0.040475]
[0.040475,0.040701]
[0.040701,0.041341]
[0.041341,0.044503]
[0.044503,0.044716]
[0.044716,0.045195]
[0.045195,0.046496]
[0.046496,0.047174]
[0.047174,0.048159]
[0.048159,0.049068]
[0.049068,0.050200]
[0.050200,0.050933]
[0.050933,0.050940]
[0.050940,0.052430]
[0.052430,0.053064]
[0.053064,0.053238]
[0.053238,0.053241]
[0.053241,0.053374]
[0.053374,0.053495]
[0.053495,0.054112]
[0.054112,0.054492]
[0.054492,0.054890]
[0.054890,0.056033]
[0.056033,0.056557]
[0.056557,0.056839]
[0.056839,0.057579]
[0.057579,0.057650]
[0.057650,0.057748]
[0.057748,0.058091]
[0.058091,0.058199]
[0.058199,0.058209]
[0.058209,0.058463]
[0.058463,0.058697]
[0.058697,0.059264]
[0.059264,0.059366]
[0.059366,0.059421]
[0.059421,0.059538]
[0.059538,0.060227]
[0.060227,0.060582]
[0.060582,0.060637]
[0.060637,0.061167]
[0.061167,0.063012]
[0.063012,0.063016]
[0.063016,0.063249]
[0.063249,0.063584]
[0.063584,0.064117]
[0.064117,0.064256]
[0.064256,0.064533]
[0.064533,0.064720]
[0.064720,0.065274]
[0.065274,0.065729]
